@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-37,39-55,57-72,75-76,79-85,87,89-106,108-186'

@attribute color_bgr_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_luv_u_centroid numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_g_intensity1 numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.233552,0.079365,-0.128205,0.113142,0.443194,-0.989731,-0.993332,0.473684,-0.422925,-0.948415,NON_ULCER
-0.680293,-0.111111,-0.282051,-0.165229,0.493853,-0.991249,-0.987717,0.515789,-0.541502,-0.96057,NON_ULCER
-0.239656,0.079365,-0.102564,0.07784,0.458199,-0.997254,-0.998584,0.473684,-0.43083,-0.972377,NON_ULCER
-0.34386,0.015873,-0.076923,0.020757,0.45535,-0.96248,-0.997382,0.452632,-0.462451,-0.970968,NON_ULCER
-0.290317,0.238095,0.051282,0.013155,0.382819,-0.980778,-0.987339,0.410526,-0.454545,-0.962503,NON_ULCER
-0.246897,0.079365,-0.076923,0.061991,0.458048,-0.996776,-0.997553,0.473684,-0.438735,-0.959397,NON_ULCER
-0.110926,0.142857,-0.025641,0.08014,0.471987,-0.99027,-0.997021,0.494737,-0.43083,-0.935576,NON_ULCER
-0.020239,0.015873,-0.153846,0.11965,0.513677,-0.993405,-0.994644,0.536842,-0.422925,-0.935873,NON_ULCER
-0.3352,0.269841,0.153846,-0.014633,0.342098,-0.979046,-0.982297,0.368421,-0.478261,-0.910216,NON_ULCER
-0.282434,0.047619,-0.025641,-0.012468,0.503589,-0.994858,-0.998609,0.536842,-0.478261,-0.980955,NON_ULCER
-0.047391,0.142857,0,0.112422,0.463143,-0.990684,-0.995925,0.494737,-0.41502,-0.930466,NON_ULCER
-0.191079,0.174603,-0.025641,0.083094,0.424892,-0.989308,-0.997889,0.452632,-0.422925,-0.974784,NON_ULCER
-0.287323,0.333333,0.076923,0.003122,0.370471,-0.991953,-0.991934,0.410526,-0.454545,-0.98668,NON_ULCER
-0.339089,0.015873,0,-0.036826,0.488602,-0.986496,-0.99841,0.515789,-0.494071,-0.981492,NON_ULCER
-0.138902,0.206349,0.025641,0.09204,0.430841,-0.985859,-0.995772,0.452632,-0.422925,-0.967222,NON_ULCER
