@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-40,42-50,52-76,79-84,86-106,108-119,121-125,127-145,148-158,160-186'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_v_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_luv_u_correlation numeric
@attribute haralick_bgr_gr_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.242798,0.060606,0.001371,-0.987245,-0.996365,0.121212,-0.895499,0.064782,-0.596175,-0.540009,-0.931102,0.802065,ULCER
0.209877,0.212121,0.00976,-0.974496,-0.989795,0.121212,-0.860348,-0.041891,-0.623796,-0.558869,-0.899748,0.699835,ULCER
-0.176955,-0.090909,-0.100786,-0.975475,-0.983632,0.106061,-0.783543,-0.159399,-0.718964,-0.762186,-0.907403,0.815633,ULCER
-0.045267,-0.212121,-0.092371,-0.984852,-0.994543,0.19697,-0.527895,0.254609,-0.547101,-0.474946,-0.917094,0.779328,ULCER
0.09465,0.030303,0.112645,-0.973418,-0.980758,0.121212,-0.638165,0.138599,-0.560691,-0.47422,-0.8552,0.685417,ULCER
-0.135802,-0.121212,-0.074682,-0.985102,-0.986401,0.136364,-0.794056,0.032278,-0.624908,-0.66191,-0.909072,0.830975,ULCER
0.09465,-0.030303,0.024374,-0.983322,-0.991403,0.121212,-0.828212,0.047869,-0.607436,-0.555638,-0.890301,0.808135,ULCER
0.102881,0.030303,0.063905,-0.982128,-0.989477,0.075758,-0.837953,0.383657,-0.419881,-0.356071,-0.866642,0.817876,ULCER
0.201646,0.212121,0.099703,-0.991386,-0.996992,0.060606,-0.907013,0.452981,-0.378886,-0.310514,-0.884111,0.787432,ULCER
0.135802,0.121212,-0.011002,-0.974748,-0.989753,0.121212,-0.895343,0.084161,-0.600968,-0.553919,-0.925808,0.778158,ULCER
0.316872,-0.030303,0.285669,-0.994089,-0.992481,0.060606,-0.871619,-0.100821,-0.666257,-0.560289,-0.930654,0.63542,NON_ULCER
0.185185,0.030303,0.203435,-0.989748,-0.995458,0.030303,-0.951283,0.078435,-0.55965,-0.483987,-0.928333,0.767732,NON_ULCER
0.102881,0.181818,0.047612,-0.994449,-0.998094,0.060606,-0.97489,0.161149,-0.569202,-0.5731,-0.945639,0.748853,NON_ULCER
